Altium Designer Pick and Place Locations
C:\Users\Bryan Heddle\OneDrive\Desktop\Ergos-Dynamic-Humanoid-Platform\Electrical\PCB_Project\Project Outputs for ROBOT_PCB_PROJECT\Pick Place for ROBOT_MOTHERBOARD.csv

========================================================================================================================
File Design Information:

Date:       16/12/25
Time:       20:20
Revision:   742bda82a27776dae595671be64baffd7568990c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J5","XT90PW-M","TopLayer","AMASS_XT90PW-M_-_duplicate","60.9600","17.2085","90","Socket; DC supply; XT90; male; PIN: 2; on PCBs; THT; Colour: yellow"
"J6","1017505","TopLayer","PHOENIX_1017505","103.9061","10.0031","90",""
"F5","3568","TopLayer","FP-3568-MFG","37.6441","7.0821","180",""
"R15","RMCF1206FG10K0","TopLayer","FP-RMCF1206-MFG","50.9791","51.0751","270","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant"
"R14","RMCF1206FG10K0","TopLayer","FP-RMCF1206-MFG","47.2961","51.0241","270","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant"
"J10","M20-9990246","TopLayer","HARWIN_M20-9990246","50.5981","56.1041","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"
"J9","M20-9990246","TopLayer","HARWIN_M20-9990246","47.1691","56.1041","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"
"Cout3","CL32B106KBJNNWE","TopLayer","FP-CL32-IPC_B","104.1400","56.3880","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"Cout2","CL32B106KBJNNWE","TopLayer","FP-CL32-IPC_B","104.1400","52.8320","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"Risns-","CRCW040210R0FKED","TopLayer","RESC1005X40X25NL05T05","105.5171","31.4591","0",""
"Risns+","CRCW040210R0FKED","TopLayer","RESC1005X40X25NL05T05","106.4061","35.7771","180",""
"U15","TPS43060RTER","TopLayer","FP-RTE0016E-IPC_B","103.0748","36.2316","90","IC REG CTRLR BOOST 16WQFN"
"Rvcc","CRCW04022R00FKED","TopLayer","RESC1005X40X25ML05T05","102.9771","39.8411","90",""
"Ccomp1","CGA4C2C0G1H822J060AA","TopLayer","FP-CGA4J-IPC_A","101.7071","26.3791","180","Cap Ceramic 8.2nF 50V C0G 5% Pad SMD 0805 +125°C Automotive T/R"
"Cboot1","u1","TopLayer","FP-CC0805-0_85-MFG","95.3571","38.9521","90","CC0805KRX7R9BB104 CAP CER 0.1UF 50V X7R 0805"
"Rsns1","PRL1632-R010-F-T1","TopLayer","FP-PRL1632-MFG","114.3000","35.8140","90","10 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film"
"Rfbt","160K 1% 0603(1608)","TopLayer","RESC0603(1608)_N","106.5331","26.3791","270","160K 0.1W 1% 0603 (1608 Metric)  SMD"
"Q2","CSD17571Q2","TopLayer","FP-DQK0006C-MFG","102.4691","45.8101","0","MOSFET N-CH 30V 22A 6SON"
"Cvcc","GRM188R61C106MA73D","TopLayer","FP-GRM188-0_2-IPC_A","104.4625","42.2541","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 16V"
"Cin2","CL32A106KBJNNNE","TopLayer","FP-CL32-IPC_B","116.6931","31.5861","0","Cap Ceramic 10uF 50V X5R ±10% SMD 1210 +85°C Embossed T/R"
"Cin1","CL32A106KBJNNNE","TopLayer","FP-CL32-IPC_B","116.6931","27.9031","0","Cap Ceramic 10uF 50V X5R ±10% SMD 1210 +85°C Embossed T/R"
"Ruvlo2","RC0201FR-0723K7L","TopLayer","RESC0603X26N","94.6281","34.4801","90","23.7 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Moisture Resistant Thick Film"
"Ruvlo1","RC0201FR-07162KL","TopLayer","RESC0603X26N","95.6441","34.5071","270","162 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Moisture Resistant Thick Film"
"Rt","RC0201FR-07105KL","TopLayer","RESC0603X26N","101.5531","32.9831","0","105 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Moisture Resistant Thick Film"
"Rsns2","PRL1632-R010-F-T1","TopLayer","FP-PRL1632-MFG","109.9820","35.8140","90","10 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film"
"Rpg","CRCW0402100KFKED","TopLayer","FP-CRCW0402-e3-IPC_C","95.1031","36.2851","0","RES Thick Film, 100kO, 1%, 0.063W, 100ppm/°C, 0402"
"Rfbb","CRCW040211K0FKED","TopLayer","FP-CRCW0402-e3-IPC_A","104.8821","26.7601","270","RES Thick Film, 11kO, 1%, 0.063W, 100ppm/°C, 0402"
"Rcomp","CRCW04025K36FKED","TopLayer","FP-CRCW0402-e3-IPC_B","102.7943","28.9191","0","RES Thick Film, 5.36kO, 1%, 0.063W, 100ppm/°C, 0402"
"Q1","CSD17571Q2","TopLayer","FP-DQK0006C-MFG","107.1681","45.8101","180","MOSFET N-CH 30V 22A 6SON"
"Dboot","XBS053V15R-G","TopLayer","DIO_XBS053V15R-G","101.7071","40.9841","270","Diode Schottky 20V 500mA Surface Mount SOD-523"
"Cvin","GRM155R71C104KA88D","TopLayer","CAPC1005X55N","106.1521","37.3011","270","SMD Capacitor X7R(EIA) with Capacitance: 0.10uF Tol. 10%. Rated Voltage: 16Vdc"
"Css","C1608C0G1E472J080AA","TopLayer","FP-C1608-080-0_1-IPC_A","101.3476","31.0781","0","Multilayer Ceramic Capacitors 4.7nF ±5% 25V C0G SMD 0603"
"Cout1","CL32B106KBJNNWE","TopLayer","FP-CL32-IPC_B","104.1400","49.4030","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"Ccomp2","GRM1555C1H391JA01J","TopLayer","FP-GRM155-0_05-IPC_A","100.4665","28.9191","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 390pF, C0G, 30ppm/°C, 5%, 50V"
"Cboot2","u1","TopLayer","FP-CC0805-0_85-MFG","97.7701","38.9521","90","CC0805KRX7R9BB104 CAP CER 0.1UF 50V X7R 0805"
"VIN","105017-0001","TopLayer","USB-MICRO-B_V","2.9731","36.9271","270","Micro-USB B Receptacle, Right Angle, Bottom Mount, Surface Mount, with Solder Tabs, -30 to 85 degC, 5-Pin USB, RoHS, Tape and Reel"
"U3","BMI323","TopLayer","BMI323_BOS","9.1961","27.1481","270","No Description Available"
"U14","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","55.5891","36.2461","180","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U13","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","43.6511","36.3731","180","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U12","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","83.6561","36.3731","180","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U11","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","70.5751","36.2461","180","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U10","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","55.4241","46.0901","0","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U9","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","43.5981","46.2171","0","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U8","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","82.4751","45.9441","0","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U7","SN74AHCT1G125DBVT","TopLayer","SOT95P280X145-5N","70.4101","45.9441","0","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs"
"U6","SN74LVC2G04DBVRG4","TopLayer","FP-DBV0006A-MFG","33.9531","27.5498","90","IC INVERTER 2CH 2-INP SOT23-6"
"U5","SN74LVC2T45DCTR","TopLayer","FP-DCT0008A-IPC_C","25.1421","27.7672","270","2-Bit Dual Supply Transceiver with Configurable Voltage-Level Shifting and 3-State Outputs 8-SSOP -40 to 85"
"U4","SN74LVC2T45DCTR","TopLayer","FP-DCT0008A-IPC_C","17.4511","27.7678","270","2-Bit Dual Supply Transceiver with Configurable Voltage-Level Shifting and 3-State Outputs 8-SSOP -40 to 85"
"U2","AP2112K-3.3TRG1","TopLayer","FP-SOT25-IPC_A","3.1951","47.4106","270","IC REG LINEAR 3.3V 600MA SOT25"
"U1","ESP32-S3-WROOM-1-N4R2","TopLayer","XCVR_ESP32-S3-WROOM-1-N4R2","26.0741","42.2711","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
"Reset1","1825910-6","TopLayer","SW_1825910-6-4","10.7201","55.5961","180","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole"
"R13","10kO","TopLayer","FP-RMCF1206-MFG","59.4881","46.5471","90","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant RMCF1206FG10K0"
"R12","47O","TopLayer","FP-RMCF0603-IPC_A","57.4170","42.5341","0","47O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant RMCF0603FG47R0"
"R11","10kO","TopLayer","FP-RMCF1206-MFG","48.0581","46.2171","90","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant RMCF1206FG10K0"
"R10","47O","TopLayer","FP-RMCF0603-IPC_A","46.0261","42.5341","0","47O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant RMCF0603FG47R0"
"R9","10kO","TopLayer","FP-RMCF1206-MFG","86.5391","46.2741","90","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant RMCF1206FG10K0"
"R8","47O","TopLayer","FP-RMCF0603-IPC_A","84.6341","42.3881","0","47O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant RMCF0603FG47R0"
"R7","10kO","TopLayer","FP-RMCF1206-MFG","74.6011","46.2741","90","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant RMCF1206FG10K0"
"R6","47O","TopLayer","FP-RMCF0603-IPC_A","72.6570","42.3881","0","47O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant RMCF0603FG47R0"
"R5","4k7","TopLayer","FP-CRCW0805-e3-IPC_B","9.1961","30.1961","0","CRCW08054K70FKEARES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"
"R4","4k7","TopLayer","FP-CRCW0805-e3-IPC_B","9.1961","32.6091","0","CRCW08054K70FKEARES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"
"R3","4k7","TopLayer","FP-CRCW0805-e3-IPC_B","10.4042","40.7371","180","CRCW08054K70FKEARES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"
"R2","4k7","TopLayer","FP-CRCW0805-e3-IPC_B","10.4042","43.0231","0","CRCW08054K70FKEARES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"
"R1","4k7","TopLayer","FP-CRCW0805-e3-IPC_B","13.5141","49.1810","270","CRCW08054K70FKEARES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"
"PWR","SML-LX1206IC-TR","TopLayer","LUMX-SML-LX1206IC_V","10.4751","45.1441","180","LED Red, 65 mW, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"L1","XAL6060-472MEB","TopLayer","IND_XAL6060-472MEB","113.0101","41.0991","90","Power inductor, shielded, 20% tol, SMT, RoHS, halogen-f"
"J8","KLDX-0202-B","TopLayer","KYCN-KLDX-0202-B_V","93.4841","47.2411","270","3 Conductor Power Jack, 2 break 2 aux contacts"
"J7","1017505","TopLayer","PHOENIX_1017505","18.0541","10.0031","270",""
