Change Component Footprint: Designator=L1 Old Footprint=COIL-MSS1038_V New Footprint=WE-PD_1260P
Change Component Comment : Designator=L1 Old Comment=22 uH New Comment=22uH
Change Managed Component Library Link : Designator=L1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AD54EEDF-123D-41E2-9320-006020BBB520 New ItemGUID=A1B9D007-F6D3-4F38-B106-52C94468AEFB Old RevisionGUID=8EAFC3BB-C7B1-4726-BCF1-8ECC3D35D0D7 New RevisionGUID=E994B40D-7868-4B3F-95A6-DCC44BB4D944
Change component parameters: Designator = "L1" ("L1"); Footprint = "COIL-MSS1038_V"; UniqueID = "\EUOVJBMK" ("\EUOVJBMK")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "110°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "3.7A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "34.3mO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "22µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "12mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "107343607"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "12mm"; VariantName = "[No Variations]"
