Altium Designer Pick and Place Locations
C:\Users\Bryan Heddle\OneDrive\Desktop\Ergos-Dynamic-Humanoid-Platform\Electrical\PCB_Project\Project Outputs for ROBOT_PCB_PROJECT\Pick Place for ROBOT_MOTHERBOARD.csv

========================================================================================================================
File Design Information:

Date:       09/12/25
Time:       13:54
Revision:   99d3eb6b6ac74286a49f71437bcb8638c554fdc7
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J6","1017505","TopLayer","PHOENIX_1017505","4090.791","393.824","90",""
"F5","3568","TopLayer","FP-3568-MFG","1482.051","278.824","180",""
"R15","RMCF1206FG10K0","TopLayer","FP-RMCF1206-MFG","2007.051","2010.832","270","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant"
"R14","RMCF1206FG10K0","TopLayer","FP-RMCF1206-MFG","1862.051","2008.824","270","10kO ±1% 0.25W 1206 Thick Film Chip Resistor AEC-Q200 compliant"
"J10","M20-9990246","TopLayer","HARWIN_M20-9990246","1992.051","2208.824","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"
"J9","M20-9990246","TopLayer","HARWIN_M20-9990246","1857.051","2208.824","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"
"Cout3","CL32B106KBJNNWE","TopLayer","FP-CL32-IPC_B","4079.216","2223.548","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"Cout2","CL32B106KBJNNWE","TopLayer","FP-CL32-IPC_B","4079.216","2083.548","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"Risns-","CRCW040210R0FKED","TopLayer","RESC1005X40X25NL05T05","4154.217","1238.548","0",""
"Risns+","CRCW040210R0FKED","TopLayer","RESC1005X40X25NL05T05","4189.216","1408.548","180",""
